,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,DOW
437,176.77,213.11,145.37,224.16,200.0,56.22,102.97,399.81,341.41,217.9,132.46653919694072,54.66,163.17,53.61,166.98,248.11,181.79,73.36,294.17,148.04,141.66,156.29,405.27,279.68,54.47,229.6,48.8,142.25,178.26,59.69
438,173.14,212.27,141.91,218.41,200.55,55.52,103.36,389.5,333.8,214.97,131.4244741873805,54.0,162.81,52.64,166.08,243.77,180.05,73.32,283.52,145.3,140.59,153.49,398.62,272.28,54.16,225.56,48.09,140.5,174.52,59.46
439,171.54,214.9,142.83,225.36,197.87,55.48,103.33,384.89,336.93,214.92,133.05927342256214,53.49,164.02,52.96,165.95,244.28,180.88,75.09,284.0,146.02,142.02,154.88,400.41,270.5,54.38,226.68,48.71,140.44,172.68,58.82
440,167.53,212.65,141.5,219.94,191.97,54.43,101.45,378.03,328.26,212.28,132.82026768642447,53.28,161.5,52.47,163.69,241.11,175.42,75.11,281.92,145.23,139.8,152.01,390.74,271.22,54.01,222.75,47.05,139.38,169.17,57.56
441,173.94,213.92,142.65,226.0,194.33,55.14,104.33,380.0,329.86,215.65,137.0172084130019,53.86,160.47,53.02,167.13,242.93,176.68,81.4,289.1,147.06,139.58,152.42,392.43,275.26,54.3,230.46,46.8,137.05,176.01,58.58
442,172.66,211.44,139.14,223.79,193.13,54.23,104.72,374.15,326.47,214.21,137.77246653919696,53.47,159.22,52.99,166.95,243.08,176.04,83.1,283.11,147.14,138.79,151.38,387.01,270.86,54.5,224.73,46.69,135.73,173.46,58.24
443,174.76,211.86,141.11,224.42,192.5,54.69,105.86,385.81,329.48,215.72,136.8546845124283,53.95,159.58,53.08,168.66,245.22,177.88,81.6,288.76,149.46,139.33,153.6,393.43,271.77,54.51,224.28,47.09,136.62,174.61,59.1
444,173.4,209.98,142.0,224.99,191.86,53.94,104.93,388.05,330.36,216.86,136.0994263862333,53.98,159.91,53.71,169.02,247.1,178.4,80.66,293.11,148.8,141.19,155.09,394.25,275.27,54.53,226.51,46.91,137.62,175.48,57.16
445,174.29,209.12,143.29,226.48,195.75,55.02,105.68,390.62,337.48,218.37,135.5736137667304,54.18,161.34,53.88,170.09,248.32,177.8,81.94,294.85,151.85,142.32,157.24,404.7,274.58,53.9,230.55,47.85,139.24,177.71,58.51
446,175.15,208.95,142.9,226.39,195.16,55.08,108.05,392.81,334.34,217.7,136.92160611854683,53.81,160.93,54.12,170.22,247.7,176.95,80.63,294.85,152.48,141.73,157.33,408.46,272.48,53.24,230.27,47.38,139.66,176.74,58.71
447,173.46,206.7,142.81,226.45,192.89,54.93,107.13,385.24,336.97,215.29,136.16634799235183,53.44,160.25,54.23,166.64,246.58,176.28,79.93,294.23,150.28,142.32,156.23,404.99,273.75,52.18,225.11,47.42,139.53,173.52,58.23
448,174.91,201.89,141.51,223.57,189.92,54.28,107.15,386.53,337.8,214.33,134.2925430210325,52.17,157.69,54.23,165.36,244.52,175.53,79.59,292.88,153.35,142.11,156.48,403.24,279.0,51.33,224.05,47.42,139.38,173.13,57.74
449,168.72,203.61,140.91,221.78,188.94,54.62,107.79,386.31,338.28,215.58,134.56978967495218,52.26,159.2,54.24,161.0,242.65,177.17,78.95,296.31,156.3,142.44,156.39,403.55,284.41,51.35,222.46,47.26,138.37,172.96,56.91
450,171.51,206.78,143.76,217.44,194.33,55.65,108.81,391.2,344.05,218.59,137.08413001912044,53.9,160.11,54.61,163.47,244.55,180.32,78.33,302.75,157.14,144.05,156.69,420.36,290.02,51.92,225.18,50.77,139.87,174.41,58.74
451,175.81,207.84,144.84,217.04,199.02,55.25,109.61,406.07,350.41,220.72,138.2504780114723,54.46,161.3,54.48,166.61,242.25,181.94,78.33,304.21,158.01,144.42,155.64,428.07,291.66,52.27,230.99,48.92,140.55,176.46,58.96
452,176.82,203.13,146.55,216.98,198.18,55.19,109.56,413.69,355.01,220.63,136.06118546845124,54.47,160.12,53.94,166.55,242.26,181.72,77.15,307.29,159.43,142.34,152.88,424.62,291.7,51.91,230.65,48.4,141.68,171.14,58.95
453,177.31,206.78,148.76,215.97,201.14,55.74,111.7,412.16,357.99,221.78,135.736137667304,55.21,163.87,54.15,168.57,242.77,182.31,79.49,308.23,157.82,140.66,155.39,424.38,292.34,52.35,233.52,48.01,144.69,171.18,59.19
454,179.6,209.66,149.26,216.17,204.19,56.2,113.16,407.89,358.23,223.64,135.65965583173997,55.37,163.78,54.63,170.84,239.72,182.42,81.07,307.41,158.45,141.21,158.69,435.09,290.09,53.61,231.42,48.39,146.0,170.55,59.89
455,177.47,208.99,149.48,214.34,202.14,55.69,111.74,407.59,364.62,224.52,122.68642447418739,56.0,163.4,54.35,169.5,241.4,182.12,81.17,310.76,162.18,139.33,160.19,442.28,289.81,53.39,230.24,49.14,146.81,171.34,59.26
456,187.08,209.24,148.69,212.97,200.65,55.11,112.8,414.32,365.99,217.4,122.25621414913957,49.46,163.72,54.45,171.78,238.44,180.8,81.15,309.16,163.48,140.83,162.37,449.16,292.56,52.93,231.23,49.0,148.34,169.42,58.4
457,182.31,207.63,148.64,212.87,202.21,55.14,113.85,414.75,371.26,217.54,122.02676864244741,49.41,164.08,54.23,170.94,237.34,182.4,81.66,308.13,164.22,140.85,161.58,449.49,293.92,52.58,233.88,49.22,150.06,172.01,58.71
458,180.95,208.68,149.32,209.81,199.64,55.81,114.1,417.61,369.2,218.32,121.53919694072657,48.28,165.75,54.47,171.4,236.42,182.16,82.25,310.11,163.79,142.85,160.43,454.64,295.11,53.08,231.82,48.31,148.75,172.04,58.71
459,178.03,206.58,148.85,206.61,196.13,56.18,112.07,410.99,372.32,215.72,119.66539196940727,47.89,163.74,55.52,167.83,242.73,178.24,81.54,323.17,162.35,141.83,159.78,453.48,295.15,52.63,215.78,47.12,147.53,169.55,56.0
460,174.61,207.17,152.57,207.85,204.09,56.24,113.12,414.82,371.57,218.48,120.30592734225621,48.08,162.85,56.04,170.36,245.5,179.87,86.55,324.35,164.46,142.68,161.57,455.44,298.38,52.8,209.84,47.1,148.45,169.68,56.57
461,173.78,206.97,149.8,207.03,204.01,55.97,114.49,413.35,371.74,218.62,119.59847036328871,49.0,162.88,56.37,169.89,245.55,178.68,88.05,331.62,167.29,142.99,160.88,460.47,299.69,52.99,211.77,47.02,149.42,169.07,55.97
462,174.21,209.79,148.96,214.58,205.38,56.1,114.53,416.7,366.48,219.76,120.72657743785851,49.55,163.02,56.17,169.8,250.58,179.58,87.84,329.37,166.33,142.64,160.11,454.11,302.76,52.95,212.46,47.32,149.79,170.19,57.44
463,173.17,214.26,150.02,212.77,207.12,57.62,113.83,423.85,367.29,221.19,120.63097514340345,49.86,165.59,56.1,170.47,249.24,181.97,89.02,333.13,167.83,144.06,158.82,452.04,302.95,52.57,209.14,47.75,149.72,169.83,58.47
464,172.61,218.13,151.49,213.38,203.55,57.65,113.01,417.9,368.97,222.8,121.53919694072657,50.39,165.06,56.29,170.53,250.4,182.23,88.68,334.0,172.5,145.05,160.25,457.33,302.89,52.94,208.1,49.23,150.18,170.08,59.05
465,172.53,214.93,150.96,213.03,203.59,57.12,113.51,408.07,372.18,222.49,120.85,50.31,164.6,56.6,168.29,253.46,180.61,90.54,336.44,175.44,145.32,156.5,456.76,308.04,51.85,208.78,49.51,151.28,170.28,57.17
466,176.69,213.77,151.28,224.46,205.88,57.07,114.74,407.08,368.4,226.06,123.61,50.92,163.43,56.84,168.05,254.71,181.8,81.61,336.06,177.51,146.04,159.6,455.81,307.25,52.24,216.67,50.2,150.23,175.63,58.31
467,180.05,211.37,150.44,222.68,214.25,57.0,115.15,408.34,368.59,225.73,124.54,51.55,162.87,56.33,169.06,253.1,181.54,82.68,336.99,171.85,144.95,158.7,462.62,309.96,52.33,220.49,49.9,149.27,176.87,58.57
468,179.86,211.71,150.81,220.79,209.81,57.44,116.0,405.35,370.65,227.75,120.85,51.2,162.51,56.49,167.78,252.65,181.33,82.72,335.95,173.82,145.39,157.4,464.35,309.71,52.24,213.39,49.1,149.79,175.11,58.79
469,181.39,213.21,147.92,218.5,206.67,57.77,114.15,399.12,368.58,225.41,120.22,50.76,164.27,56.72,167.62,253.13,182.42,84.01,330.8,168.26,146.82,158.22,459.9,299.67,52.6,215.56,48.97,148.44,174.45,58.76
470,181.3,211.56,147.87,219.38,208.53,56.76,114.16,402.34,367.63,221.01,120.27,50.53,163.06,56.74,167.61,250.16,180.21,84.02,332.43,166.97,146.4,157.83,457.39,302.98,52.45,210.42,49.94,148.5,162.11,59.68
471,181.89,211.39,149.99,220.96,209.27,56.82,114.23,404.91,372.63,222.39,118.96,50.31,165.01,56.61,166.86,250.67,183.66,84.0,336.72,169.09,146.56,157.42,458.99,306.65,52.34,212.09,49.54,147.76,159.63,60.06
472,183.13,207.4,150.0,233.09,207.71,57.27,116.82,404.81,371.08,222.47,118.87,50.32,163.52,56.62,166.56,252.94,183.31,83.69,336.07,168.85,147.4,158.06,450.8,305.49,52.4,212.3,49.22,146.91,158.43,59.92
473,180.92,205.39,151.0,225.8,205.43,57.0,117.28,403.09,392.33,221.37,118.46,50.61,162.67,56.22,165.36,252.46,183.37,84.11,339.51,171.83,147.19,158.99,449.62,307.09,52.06,215.18,48.57,143.17,158.83,58.86
474,179.61,205.82,153.49,226.62,202.98,56.76,115.42,391.55,394.85,220.49,118.06,50.23,163.28,55.91,164.47,252.69,183.34,82.6,339.12,171.74,147.1,156.42,448.95,308.02,51.73,205.06,47.81,141.94,157.33,58.34
475,176.21,204.02,157.87,227.25,201.42,53.63,114.45,391.37,405.85,220.7,116.66,49.68,162.4,55.41,163.05,253.48,178.77,83.05,341.27,171.35,147.12,156.03,449.47,302.99,51.24,203.33,47.82,143.16,155.58,57.98
476,173.54,206.08,160.55,214.13,200.44,53.25,111.91,387.39,408.69,218.49,116.05,49.52,162.89,55.13,160.92,251.95,179.23,80.7,343.11,174.88,146.82,152.53,440.0,301.17,50.86,200.86,46.98,142.39,154.0,57.34
477,170.9,202.73,161.02,209.9,202.38,54.6,113.91,396.16,408.79,218.14,116.47,49.83,159.7,55.47,164.35,253.48,179.66,81.64,339.83,174.24,147.8,156.87,437.54,296.84,51.54,195.58,47.32,144.78,154.16,58.79
478,170.85,204.53,161.41,209.13,205.33,55.3,116.3,406.34,408.37,216.0,116.79,49.1,160.69,55.88,168.28,255.65,179.46,82.8,337.68,172.15,149.44,160.26,447.13,291.42,51.75,198.49,47.39,145.81,151.03,59.18
479,171.61,203.97,161.94,210.6,207.07,55.54,117.19,399.19,412.11,212.21,116.73,49.76,160.24,55.43,166.96,257.11,177.63,82.28,337.91,172.03,148.66,158.97,450.16,289.17,51.66,203.25,46.62,146.54,151.34,58.63
480,156.82,201.09,156.81,199.21,198.73,54.67,114.51,389.39,402.7,208.21,115.81,48.78,159.2,53.73,161.93,250.01,175.52,79.16,329.68,168.02,147.47,153.66,439.91,284.21,51.8,197.65,45.9,144.9,148.11,57.6
481,157.86,203.47,160.24,198.5,195.92,55.76,114.85,386.54,406.82,207.66,118.5,50.0,159.75,54.58,161.23,250.3,176.23,74.89,336.63,169.87,149.02,152.4,452.0,296.74,51.66,196.29,46.08,142.63,147.81,56.86
482,152.3,198.88,165.3,197.85,193.35,54.84,112.87,380.99,400.61,202.24,117.1,49.2,155.93,52.45,158.83,244.6,170.04,74.91,330.59,169.24,144.58,146.95,444.22,284.96,50.27,193.77,44.8,140.63,144.9,54.93
483,150.06,200.8,164.77,188.19,191.47,55.03,112.1,376.48,400.42,199.42,116.92,48.6,158.08,52.3,157.89,244.18,170.73,74.44,330.08,166.7,146.4,145.48,444.34,251.5,49.77,190.16,43.72,137.14,142.15,52.76
484,156.77,201.17,163.76,202.38,196.79,56.15,115.14,387.54,407.77,204.0,116.9,49.5,157.09,53.07,161.21,248.8,170.26,73.89,329.49,170.0,147.26,150.16,446.02,261.2,50.73,198.29,44.62,135.47,147.2,53.18
485,155.94,202.44,161.84,198.49,197.8,56.23,114.41,382.73,407.81,203.5,118.84,49.25,159.38,53.54,158.29,249.33,172.59,73.34,323.01,170.24,149.88,149.16,449.32,258.32,51.42,196.32,46.53,137.51,146.22,53.07
486,160.68,208.79,165.32,205.88,201.28,56.96,116.2,389.3,415.7,206.25,119.91,50.99,162.94,54.91,160.16,255.79,177.2,73.42,326.19,168.91,152.15,151.82,460.11,258.75,51.07,202.68,48.3,139.0,150.37,53.88
487,166.95,211.32,171.18,208.83,204.49,58.08,117.92,400.11,416.18,207.15,121.58,52.57,163.36,55.21,162.57,259.91,176.55,72.28,334.92,171.29,151.75,153.09,464.73,266.99,50.79,207.37,48.23,138.55,150.81,54.86
488,168.93,213.53,175.08,211.03,204.19,57.02,118.45,397.32,411.25,204.65,123.02,51.75,164.34,55.0,160.71,259.58,176.04,73.21,334.97,170.25,152.43,153.68,468.86,266.31,50.49,208.99,48.5,137.15,153.34,54.91
